step,cumulative_reward,queue_length
176000,-9774.0,4.374
176500,-10966.0,2.384
177000,-11835.0,1.738
177500,-12567.0,1.464
178000,-13877.0,2.62
178500,-14765.0,1.776
179000,-14990.0,0.45
179500,-16549.0,3.118
180000,-18110.0,3.122
180500,-18280.0,0.34
181000,-19349.0,2.138
181500,-20521.0,2.344
182000,-21361.0,1.68
182500,-2556.0,8.491694352159469
183000,-2973.0,0.834
183500,-3524.0,1.102
184000,-4456.0,1.864
184500,-5946.0,2.98
185000,-7302.0,2.712
185500,-8205.0,1.806
186000,-10329.0,4.248
186500,-11548.0,2.438
187000,-12418.0,1.74
187500,-13064.0,1.292
188000,-14324.0,2.52
188500,-15132.0,1.616
189000,-15523.0,0.782
189500,-17035.0,3.024
190000,-18911.0,3.752
190500,-19140.0,0.458
191000,-20146.0,2.012
191500,-21194.0,2.096
192000,-22081.0,1.774
192500,-843.0,12.772727272727273
193000,-2884.0,4.082
193500,-3054.0,0.34
194000,-4321.0,2.534
194500,-5486.0,2.33
195000,-6354.0,1.736
195500,-7642.0,2.576
196000,-8163.0,1.042
196500,-10165.0,4.004
197000,-10836.0,1.342
197500,-11697.0,1.722
198000,-12720.0,2.046
198500,-13803.0,2.166
199000,-14438.0,1.27
199500,-14589.0,0.302
200000,-16739.0,4.3
200500,-17103.0,0.728
201000,-18350.0,2.494
201500,-19474.0,2.248
202000,-20793.0,2.638
