step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
342,17,20.919620637552278,-44741.0,26,59.6
343,20,22.489368444266532,-44942.0,26,66.60000000000001
344,22,23.223302283354187,-45145.0,26,74.0
348,23,18.584355119376962,-45371.0,27,57.7
349,23,15.621695638746736,-45601.0,27,69.6
350,22,15.007896383712358,-45820.0,27,81.8
351,23,13.91706125792539,-46048.0,27,96.89999999999999
352,23,11.52833955004694,-46278.0,27,113.9
356,23,10.778754929486771,-46513.0,27,126.5
357,23,10.192207634022585,-46743.0,27,142.2
358,21,12.345781252149093,-46957.0,27,159.2
359,21,12.921575733432235,-47173.0,27,176.2
360,21,12.210104569478402,-47380.0,27,194.0
364,24,10.885450882211934,-47624.0,27,165.4
365,23,7.961894464047304,-47862.0,27,125.89999999999999
366,22,10.384080202106208,-48085.0,27,78.39999999999999
367,21,11.442660171932546,-48304.0,27,65.7
368,20,12.754390306406483,-48510.0,27,74.7
372,16,18.023731091893033,-48683.0,27,59.0
373,16,17.455380924670276,-48844.0,27,66.0
374,16,18.709861174478586,-48991.0,27,73.2
375,17,19.227172849961544,-49157.0,27,81.2
376,20,20.882657344492507,-49338.0,27,89.8
380,22,17.257841963618333,-49554.0,28,71.2
381,23,15.443333343931958,-49775.0,28,81.9
382,23,15.317844102795465,-49996.0,28,95.8
383,23,13.622706582876212,-50226.0,29,111.7
384,25,13.385994880088466,-50479.0,29,128.7
388,25,13.554844064601468,-50729.0,29,128.1
389,26,14.081204008189605,-50987.0,29,145.9
390,23,14.474184653089976,-51222.0,29,164.9
391,23,11.894872378075124,-51452.0,29,183.9
392,24,13.67741363172359,-51695.0,29,202.9
396,24,11.89134281685893,-51935.0,29,151.6
397,24,13.606984977176433,-52188.0,29,105.1
398,23,13.79233304695195,-52418.0,29,75.1
399,21,14.451583247287957,-52638.0,30,83.1
403,17,20.509273128420677,-52834.0,30,51.6
404,17,20.03650640768354,-53004.0,30,58.800000000000004
405,14,19.575020396278674,-53162.0,30,66.8
406,17,23.343225900737885,-53314.0,30,74.8
407,17,22.05685214064002,-53484.0,30,82.9
411,19,20.669606075973007,-53667.0,30,67.7
412,20,15.97732133502892,-53866.0,30,78.7
